2021-06-18 22:29:59,632 Block: 12660569 Exchange: uniswap Update: {'pairAddress': '0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc', 'token0Symbol': 'USDC', 'token0Address': '0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48', 'token0Reserves': 99133340908335, 'token0Decimals': 6, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 44973751441696991054000, 'token1Decimals': 18, 'blockNumber': 12660569}
2021-06-18 22:30:05,492 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xf421c3f2e695C2D4C0765379cCace8adE4a480D9', 'token0Symbol': 'BAND', 'token0Address': '0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55', 'token0Reserves': 27007447783223184275961, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 77519921761187894517, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:05,819 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xaB3F9bF1D81ddb224a2014e98B238638824bCf20', 'token0Symbol': 'LEND', 'token0Address': '0x80fB784B7eD66730e8b1DBd9820aFD29931aab03', 'token0Reserves': 92419860170961552583497, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 109810242598598542087, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:06,078 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x3e8468f66d30Fc99F745481d4B383f89861702C6', 'token0Symbol': 'GNO', 'token0Address': '0x6810e776880C02933D47DB1b9fc05908e5386b96', 'token0Reserves': 502610933424700901182, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 37547206111059062001, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:06,368 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x3B3d4EeFDc603b232907a7f3d0Ed1Eea5C62b5f7', 'token0Symbol': 'STAKE', 'token0Address': '0x0Ae055097C6d159879521C384F1D2123D1f195e6', 'token0Reserves': 278108596943512899587329, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 1333479040113586818238, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:06,632 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x48E313460DD00100e22230e56E0A87B394066844', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 153532398625186861540, 'token0Decimals': 18, 'token1Symbol': 'OMG', 'token1Address': '0xd26114cd6EE289AccF82350c8d8487fedB8A0C07', 'token1Reserves': 73103739298782075951987, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:06,901 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xf1Ff4c672DaBf9AEa4813DdA6De66b860b0970b4', 'token0Symbol': 'BLT', 'token0Address': '0x107c4504cd79C5d2696Ea0030a8dD4e92601B82e', 'token0Reserves': 326618803939120185425222, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 9435075543338641950, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:07,168 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xeC6a6b7dB761A5c9910bA8fcaB98116d384b1B85', 'token0Symbol': 'TRU', 'token0Address': '0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784', 'token0Reserves': 53668219941584, 'token0Decimals': 8, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 56021181795950130429, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:07,532 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x15ab0333985FD1E289adF4fBBe19261454776642', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 230862593665371366511, 'token0Decimals': 18, 'token1Symbol': 'MLN', 'token1Address': '0xec67005c4E498Ec7f55E092bd1d35cbC47C91892', 'token1Reserves': 6803559220045010379901, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:07,807 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xCFfDdeD873554F362Ac02f8Fb1f02E5ada10516f', 'token0Symbol': 'COMP', 'token0Address': '0xc00e94Cb662C3520282E6f5717214004A7f26888', 'token0Reserves': 8081056735630768391609, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 998841654406585553105, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:08,098 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x1ffC57cAda109985aD896a69FbCEBD565dB4290e', 'token0Symbol': 'FTM', 'token0Address': '0x4E15361FD6b4BB609Fa63C81A2be19d873717870', 'token0Reserves': 1340039957844454991202946, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 180632754389750845909, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:08,360 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x8Cb77eA869DeF8f7fdEab9E4dA6cF02897bbF076', 'token0Symbol': 'AKRO', 'token0Address': '0x8Ab7404063Ec4DBcfd4598215992DC3F8EC853d7', 'token0Reserves': 8540208126274013253965735, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 83782843830377476960, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:08,668 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xB9b752F7f4a4680eEb327ffe728f46666763A796', 'token0Symbol': 'BZRX', 'token0Address': '0x56d811088235F11C8920698a204A5010a788f4b3', 'token0Reserves': 424200537366120715590808, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 54102305982005406125, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:08,932 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x2fDbAdf3C4D5A8666Bc06645B8358ab803996E28', 'token0Symbol': 'YFI', 'token0Address': '0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e', 'token0Reserves': 64470652359772999210, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 982835184816758128918, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:09,199 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x0d0d65E7A7dB277d3E0F5E1676325E75f3340455', 'token0Symbol': 'MTA', 'token0Address': '0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2', 'token0Reserves': 1032597869628790633573480, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 443690216221464873582, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:09,473 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x86fEf14C27C78dEAEb4349FD959CAA11fc5B5D75', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 315713865864555871435, 'token0Decimals': 18, 'token1Symbol': 'RARI', 'token1Address': '0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF', 'token1Reserves': 86578479002064220375589, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:09,741 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xd64224a4C2BeD96C75Df9517B2d77aEbb13F0E37', 'token0Symbol': 'HXRO', 'token0Address': '0x4bD70556ae3F8a6eC6C4080A0C327B24325438f3', 'token0Reserves': 1046800284428072835114891, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 314341912186222856755, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:10,034 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0x232818620877fd9232e9ADe0c91EF5518EB11788', 'token0Symbol': 'UNKNOWN', 'token0Address': '0x431ad2ff6a9C365805eBaD47Ee021148d6f7DBe0', 'token0Reserves': 5347449889813908259130853, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 415454800298368046100, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:10,314 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0x2B9e92A5B6e69Db9fEdC47a4C656C9395e8a26d2', 'token0Symbol': 'XFT', 'token0Address': '0xABe580E7ee158dA464b51ee1a83Ac0289622e6be', 'token0Reserves': 402481887063055168681845, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 167912447360807434410, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:11,063 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0xF04543fBF20DAEE9B0357db966428EF2A4Ae0F5A', 'token0Symbol': 'FTX Token', 'token0Address': '0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9', 'token0Reserves': 4658284236513311652724, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 61996013318260367249, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:11,434 Block: 12660570 Exchange: uniswap Update: {'pairAddress': '0xddF9b7a31b32EBAF5c064C80900046C9e5b7C65F', 'token0Symbol': 'CREAM', 'token0Address': '0x2ba592F78dB6436527729929AAf6c908497cB200', 'token0Reserves': 1430201833015603953968, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 96849816964739375831, 'token1Decimals': 18, 'blockNumber': 12660570}
2021-06-18 22:30:11,719 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0xCc3d1EceF1F9fD25599dbeA2755019DC09db3c54', 'token0Symbol': 'SRM', 'token0Address': '0x476c5E26a75bd202a9683ffD34359C0CC15be0fF', 'token0Reserves': 47293150679, 'token0Decimals': 6, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 80069955334901069505, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:11,980 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0x3dA1313aE46132A397D90d95B1424A9A7e3e0fCE', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 641815738822808991037, 'token0Decimals': 18, 'token1Symbol': 'CRV', 'token1Address': '0xD533a949740bb3306d119CC777fa900bA034cd52', 'token1Reserves': 747849460443134029107018, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:12,270 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0x9346C20186D1794101B8517177A1b15c49c9ff9b', 'token0Symbol': 'yyDAI+yUSDC+yUSDT+yTUSD', 'token0Address': '0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c', 'token0Reserves': 100623755197483744634309, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 59265847944635255272, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:12,579 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0xCE84867c3c02B05dc570d0135103d3fB9CC19433', 'token0Symbol': 'SUSHI', 'token0Address': '0x6B3595068778DD592e39A122f4f5a5cF09C90fE2', 'token0Reserves': 114957143837425722783803, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 406640372615990908591, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:12,855 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0xA2b04F8133fC25887A436812eaE384e32A8A84F2', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 502922389191366646021, 'token0Decimals': 18, 'token1Symbol': 'COTI', 'token1Address': '0xDDB3422497E61e13543BeA06989C0789117555c5', 'token1Reserves': 6219481547025833852239074, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:13,119 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0x12D4444f96C644385D8ab355F6DDf801315b6254', 'token0Symbol': 'CVP', 'token0Address': '0x38e4adB44ef08F22F5B5b76A8f0c2d0dCbE7DcA1', 'token0Reserves': 1823543656306331444003992, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 952515411574360653657, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:13,402 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0x724d5c9c618A2152e99a45649a3B8cf198321f46', 'token0Symbol': 'REVV', 'token0Address': '0x557B933a7C2c45672B610F8954A3deB39a51A8Ca', 'token0Reserves': 6034265297025035057579838, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 229495320358176628355, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:13,664 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0x08650bb9dc722C9c8C62E79C2BAfA2d3fc5B3293', 'token0Symbol': 'WETH', 'token0Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token0Reserves': 1282667905760656000470, 'token0Decimals': 18, 'token1Symbol': 'AMP', 'token1Address': '0xfF20817765cB7f73d4bde2e66e067E58D11095C2', 'token1Reserves': 34711527572997432117677712, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:13,936 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0xdc98556Ce24f007A5eF6dC1CE96322d65832A819', 'token0Symbol': 'PICKLE', 'token0Address': '0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5', 'token0Reserves': 144738460401716787417173, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 661500953430050708962, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:14,220 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0x4d5ef58aAc27d99935E5b6B4A6778ff292059991', 'token0Symbol': 'DPI', 'token0Address': '0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b', 'token0Reserves': 66042865085097278476276, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 8371921200223641547449, 'token1Decimals': 18, 'blockNumber': 12660571}
2021-06-18 22:30:14,494 Block: 12660571 Exchange: uniswap Update: {'pairAddress': '0xf66369997ae562BC9eeC2AB9541581252f9Ca383', 'token0Symbol': 'PERP', 'token0Address': '0xbC396689893D065F41bc2C6EcbeE5e0085233447', 'token0Reserves': 401407481527019638907250, 'token0Decimals': 18, 'token1Symbol': 'WETH', 'token1Address': '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2', 'token1Reserves': 1237222021990726065333, 'token1Decimals': 18, 'blockNumber': 12660571}
